"","Date","Leave","Fever","Sick","Injured_Surgery","Hospitalized","Natural_Disaster","Sick_Related","Family_member_Sick","Family_Issue","Baby_sitting","Funeral","Interview_Educational_Other","Family_Related","Work_Related","Transport_Related","Unauthorized","total_absent_shift"
"1",2022-04-01,48,34,2,0,2,6,44,0,4,6,8,12,30,0,0,4,200
"2",2022-04-04,38,7,0,5,29,0,41,5,7,5,20,2,39,1,0,8,207
"3",2022-04-05,38,14,4,4,8,0,30,4,0,6,10,4,24,4,0,6,156
"4",2022-04-06,44,10,2,8,6,0,26,8,6,4,10,4,32,2,0,12,174
"5",2022-04-07,51,8,21,9,6,0,44,18,15,9,10,11,63,4,1,8,278
"6",2022-04-08,56,14,25,7,5,0,51,22,14,10,14,8,68,4,3,9,310
"7",2022-04-09,88,23,47,10,4,0,84,28,13,11,27,9,88,5,2,35,474
"8",2022-04-18,39,11,28,10,6,0,55,24,25,13,27,16,105,2,24,22,407
"9",2022-04-19,50,0,10,28,13,7,58,0,19,20,11,15,65,11,5,17,329
"10",2022-04-20,31,16,14,27,9,2,68,5,16,12,17,4,54,4,15,15,309
"11",2022-04-21,36,3,9,30,9,5,56,0,9,11,6,11,37,7,6,11,246
"12",2022-04-22,34,3,21,10,7,3,44,4,11,15,6,11,47,12,1,3,232
"13",2022-04-23,29,9,14,8,7,0,38,12,18,7,7,7,51,9,0,10,226
"14",2022-04-25,28,4,21,6,5,0,36,13,20,7,9,8,57,5,1,10,230
"15",2022-04-26,32,6,28,9,8,0,51,15,18,10,7,7,57,7,1,11,267
"16",2022-04-27,27,6,16,8,8,0,38,9,14,8,7,6,44,10,2,9,212
"17",2022-04-28,30,7,23,6,7,0,43,15,14,11,9,7,56,8,1,10,247
"18",2022-04-29,20,13,25,7,5,0,50,11,10,6,6,7,40,10,1,8,219
"19",2022-04-30,35,13,17,6,4,0,40,9,10,8,6,5,38,9,2,13,215
"20",2022-05-03,26,9,23,5,2,0,39,12,9,2,12,7,42,10,1,5,204
"21",2022-05-04,50,10,36,6,4,0,56,12,14,6,10,6,48,14,0,8,280
"22",2022-05-05,34,13,14,7,7,0,41,18,8,2,4,5,37,6,1,5,202
"23",2022-05-06,19,14,9,8,4,0,35,13,6,2,6,3,30,3,2,10,164
"24",2022-05-07,34,17,19,5,2,0,43,13,7,1,11,3,35,2,1,7,200
"25",2022-05-09,37,13,34,4,3,0,54,7,18,6,7,6,44,9,15,13,270
"26",2022-05-11,33,11,30,3,3,0,47,7,17,7,7,4,42,2,13,10,236
"27",2022-05-12,39,6,15,6,1,0,28,11,4,5,7,3,30,4,4,4,167
"28",2022-05-13,40,8,22,9,0,1,40,16,9,3,5,4,37,5,2,7,208
"29",2022-05-14,38,8,19,5,2,1,35,13,5,6,7,5,36,3,5,5,193
"30",2022-05-17,42,11,22,2,3,1,39,11,9,7,6,6,39,5,5,3,211
"31",2022-05-18,40,11,21,7,1,2,42,12,11,4,5,3,35,6,6,8,214
"32",2022-05-19,29,6,20,4,2,0,32,11,11,1,6,5,34,6,4,2,173
"33",2022-05-20,57,6,19,5,3,0,33,8,11,0,9,4,32,5,4,8,204
"34",2022-05-21,47,3,23,6,2,0,34,9,9,2,7,7,34,6,3,4,196
"35",2022-05-23,52,11,20,9,3,1,44,12,10,3,6,1,32,4,5,5,218
"36",2022-05-24,36,11,29,10,5,0,55,8,8,3,6,1,26,5,3,9,215
"37",2022-05-25,54,11,21,4,5,1,42,13,10,7,3,3,36,1,3,4,218
"38",2022-05-26,55,19,22,4,2,0,47,8,10,5,3,12,38,2,1,4,232
"39",2022-05-27,44,8,23,6,5,0,42,7,17,3,1,2,30,1,2,4,195
"40",2022-05-28,49,8,19,7,4,0,38,11,16,5,2,3,37,3,2,9,213
"41",2022-05-30,29,9,9,6,7,0,31,10,13,3,3,6,35,6,2,6,175
"42",2022-05-31,33,16,19,5,4,1,45,11,16,4,4,4,39,2,0,6,209
"43",2022-06-01,42,19,28,5,6,2,60,4,16,6,2,3,31,4,1,6,235
"44",2022-06-02,50,23,11,3,8,0,45,1,9,1,3,8,22,3,1,4,192
"45",2022-06-03,47,24,15,4,7,0,50,0,11,2,5,4,22,2,1,6,200
"46",2022-06-04,41,19,27,8,5,0,59,0,8,2,5,3,18,3,0,8,206
"47",2022-06-06,38,31,23,7,7,0,68,0,11,2,6,7,26,5,0,9,240
"48",2022-06-07,51,17,23,4,9,0,53,0,8,3,5,4,20,4,1,14,216
"49",2022-06-08,38,36,12,6,6,0,60,0,9,1,7,2,19,6,0,11,213
"50",2022-06-09,53,23,13,6,7,0,49,0,6,3,6,4,19,6,0,8,203
"51",2022-06-10,64,17,11,6,7,0,41,0,5,2,4,3,14,6,0,8,188
"52",2022-06-11,51,17,23,4,9,0,53,0,8,3,5,4,20,4,1,14,216
"53",2022-06-13,65,16,11,8,3,7,45,0,3,7,3,1,14,4,4,22,213
"54",2022-06-15,57,12,7,8,2,10,39,0,3,8,4,2,17,1,10,14,194
"55",2022-06-16,62,13,13,7,0,6,39,0,2,3,4,5,14,4,4,8,184
"56",2022-06-17,46,20,17,7,8,0,52,11,5,2,8,5,31,2,0,8,222
"57",2022-06-18,50,22,22,9,10,0,63,8,7,1,7,5,28,4,0,12,248
"58",2022-06-20,53,17,20,9,10,0,56,9,4,2,8,5,28,3,0,9,233
"59",2022-06-21,56,14,17,6,2,0,39,16,10,3,1,3,33,4,1,5,210
"60",2022-06-22,55,8,16,7,1,0,32,16,9,5,6,2,38,3,0,5,203
"61",2022-06-23,46,12,16,6,1,0,35,10,6,3,6,2,27,0,0,2,172
"62",2022-06-24,44,9,14,8,3,0,34,9,7,0,6,2,24,0,0,1,161
"63",2022-06-25,49,3,17,7,3,0,30,14,5,1,3,2,25,0,0,3,162
"64",2022-06-27,50,10,15,4,6,0,35,9,8,1,7,5,30,3,0,5,188
"65",2022-06-28,44,13,12,2,9,0,36,12,8,4,5,4,33,0,1,5,188
"66",2022-06-29,39,20,16,5,5,0,46,11,8,3,7,5,34,3,0,0,202
"67",2022-06-30,52,15,7,1,3,0,26,9,8,0,5,2,24,1,0,5,158
"68",2022-07-01,31,8,7,1,7,0,23,7,11,1,3,1,23,0,1,0,124
"69",2022-07-02,55,9,9,2,2,0,22,6,6,1,5,3,21,1,0,0,142
"70",2022-07-04,52,13,10,0,5,0,28,12,10,1,3,2,28,0,0,1,165
"71",2022-07-05,51,7,11,1,0,0,19,4,2,1,0,1,8,0,0,3,108
"72",2022-07-06,64,7,5,0,4,0,16,4,4,0,0,3,11,0,0,4,122
"73",2022-07-07,50,10,10,1,3,0,24,3,1,1,2,2,9,0,0,3,119
"74",2022-07-08,56,7,17,2,2,0,28,5,4,1,3,1,14,0,0,3,143
"75",2022-07-09,73,4,16,1,3,0,24,8,3,0,3,2,16,0,0,1,154
"76",2022-07-11,67,4,10,2,1,0,17,11,7,2,2,3,25,0,0,2,153
"77",2022-07-12,62,14,13,1,4,0,32,3,10,3,2,2,20,0,0,3,169
"78",2022-07-14,70,11,10,1,2,0,24,4,5,4,3,5,21,1,0,2,163
"79",2022-07-15,54,9,9,0,1,0,19,8,6,1,3,3,21,1,0,0,135
"80",2022-07-16,62,11,11,0,1,0,23,8,9,1,10,4,32,2,1,3,178
"81",2022-07-18,66,10,11,0,2,0,23,7,10,2,11,0,30,1,0,3,176
"82",2022-07-19,50,7,7,3,0,0,17,3,11,5,6,4,29,1,1,1,145
"83",2022-07-20,53,6,9,0,2,0,17,6,8,5,9,5,33,1,1,3,158
"84",2022-07-21,44,8,9,1,3,0,21,1,6,0,6,5,18,1,0,5,128
"85",2022-07-22,52,2,19,2,4,0,27,4,2,3,2,1,12,1,0,1,132
"86",2022-07-23,47,5,9,1,4,0,19,4,6,0,6,4,20,1,0,4,130
"87",2022-07-25,53,9,8,2,3,0,22,6,8,3,4,0,21,0,0,2,141
"88",2022-07-26,51,11,12,2,0,0,25,12,5,1,4,0,22,0,0,0,145
"89",2022-07-27,47,5,9,5,0,0,19,6,6,1,4,2,19,0,0,3,126
"90",2022-07-28,43,10,7,2,2,0,21,7,4,0,8,1,20,0,0,3,128
"91",2022-07-29,54,10,13,1,1,0,25,9,3,1,3,2,18,1,0,7,148
"92",2022-07-30,48,13,15,0,3,1,32,13,5,1,1,2,22,1,0,5,162
"93",2022-08-01,52,11,11,3,1,1,27,9,4,1,1,4,19,1,2,3,150
"94",2022-08-02,49,15,7,1,1,1,25,7,4,1,2,4,18,0,1,0,136
"95",2022-08-03,51,19,10,0,4,2,35,5,2,0,12,3,22,0,0,0,165
"96",2022-08-04,68,18,12,0,1,0,31,5,1,2,10,4,22,2,0,1,177
"97",2022-08-05,71,18,8,3,1,2,32,5,1,1,6,3,16,0,0,1,168
"98",2022-08-08,46,9,9,0,1,0,19,5,5,1,8,0,19,0,0,2,124
"99",2022-08-09,47,13,4,5,4,0,26,4,4,2,4,1,15,0,0,2,131
"100",2022-08-10,43,6,3,3,8,0,20,3,5,2,3,2,15,0,0,2,115
"101",2022-08-12,52,18,9,1,5,0,33,6,1,1,3,1,12,0,0,3,145
"102",2022-08-13,61,12,16,3,4,0,35,12,2,2,4,1,21,0,0,4,177
"103",2022-08-15,42,7,9,1,4,0,21,5,1,2,4,0,12,0,0,3,111
"104",2022-08-16,42,7,14,1,2,0,24,5,1,1,6,1,14,1,0,2,121
"105",2022-08-17,49,6,9,0,4,0,19,6,4,2,6,2,20,0,0,1,128
"106",2022-08-18,52,4,16,0,2,0,22,0,2,0,4,0,6,2,0,0,110
"107",2022-08-19,47,13,13,0,3,0,29,4,2,1,7,1,15,1,0,1,137
"108",2022-08-20,60,4,11,4,4,0,23,7,1,0,13,3,24,0,0,5,159
"109",2022-08-21,46,1,19,5,2,0,27,11,4,0,8,1,24,4,0,3,155
"110",2022-08-23,38,8,12,3,4,0,27,7,6,0,1,0,14,1,0,1,122
"111",2022-08-24,52,5,11,1,5,0,22,7,5,2,4,1,19,0,0,2,136
"112",2022-08-25,61,9,13,1,3,0,26,6,4,2,2,0,14,1,0,1,143
"113",2022-08-26,52,4,10,2,1,0,17,8,3,1,2,0,14,0,0,2,116
"114",2022-08-27,71,6,22,1,1,0,30,6,4,0,5,1,16,0,0,0,163
"115",2022-08-29,53,5,14,2,0,0,21,10,1,1,2,2,16,0,0,0,127
"116",2022-08-30,44,8,6,3,0,0,17,4,5,0,5,0,14,0,0,2,108
"117",2022-08-31,21,3,5,2,2,1,13,3,2,1,2,0,8,0,0,0,63
"118",2022-09-01,59,5,3,2,0,0,10,8,3,1,2,1,15,0,0,3,112
"119",2022-09-02,60,3,3,3,3,0,12,7,3,1,3,2,15,1,0,1,117
"120",2022-09-03,58,5,7,5,2,0,19,4,2,3,4,1,14,0,0,3,127
"121",2022-09-05,25,3,7,1,3,3,17,3,4,1,1,2,11,0,0,1,82
"122",2022-09-07,33,4,8,7,0,0,19,3,11,2,2,2,20,0,0,13,124
"123",2022-09-20,26,2,7,2,0,0,11,2,5,1,3,7,18,0,0,0,84
"124",2022-09-21,33,4,10,1,0,0,15,9,5,1,4,7,26,0,0,0,115
"125",2022-09-22,49,3,10,1,1,0,15,6,8,3,6,8,31,0,0,5,146
"126",2022-09-27,37,6,14,1,1,0,22,7,9,3,2,3,24,0,0,1,130
"127",2022-09-28,40,3,10,1,1,0,15,4,3,0,3,1,11,0,0,0,92
"128",2022-09-29,40,2,6,1,1,0,10,7,5,2,5,1,20,0,0,3,103
"129",2022-09-30,18,2,9,5,1,0,17,6,5,0,1,0,12,0,0,2,78
